ptp_trunk,condition,new_pa_status,accuracy_type,border_dist,sse,intercept,learning_rate,asymptote
5c9a698...,landmark_schema,both,correct_exact,3_4,0.18632091929849,3.95370098188095e-06,0.0226708921956225,0
5c9a698...,landmark_schema,far_pa,correct_exact,3_4,1.36594162487199e-07,0.000204539803960305,-5.69852006444239e-05,0
5c9a698...,landmark_schema,near_pa,correct_exact,3_4,0.748179467846324,4.00324641219624e-07,0.0477406007489481,0
5c9a698...,landmark_schema,both,correct_exact,all,0.174654407873683,0.0372230984561592,0.042770994087332,0
5c9a698...,landmark_schema,far_pa,correct_exact,all,0.234997902744903,0.0535415716062411,0.0228696688876623,0
5c9a698...,landmark_schema,near_pa,correct_exact,all,0.832298854805763,2.09233665356807e-05,0.0888014629104871,0
5c9a698...,landmark_schema,both,correct_one_square_away,3_4,0.209843520043798,2.09082991641197e-07,0.302865119765763,0
5c9a698...,landmark_schema,far_pa,correct_one_square_away,3_4,0.779279505567606,5.1657748107745e-07,0.254102088477812,0
5c9a698...,landmark_schema,near_pa,correct_one_square_away,3_4,1.06836862518289,1.06488593803995e-07,0.393181255479309,0
5c9a698...,landmark_schema,both,correct_one_square_away,all,0.102155769516995,3.63232332239506e-06,0.369326001833091,0
5c9a698...,landmark_schema,far_pa,correct_one_square_away,all,0.200850299857537,3.55645881085552e-07,0.365025095201543,0
5c9a698...,landmark_schema,near_pa,correct_one_square_away,all,0.320013395832086,1.31635853739541e-07,0.384755593642516,0
5c9a698...,landmark_schema,both,mouse_error,3_4,6144.7528372598,262.074940452381,0.406090708642416,8.59412261526462
5c9a698...,landmark_schema,far_pa,mouse_error,3_4,14893.709834489,306.927705691913,0.369543205749457,1.22788548185663e-09
5c9a698...,landmark_schema,near_pa,mouse_error,3_4,1383.68806930214,222.253045591007,0.538540831756553,18.6137134496507
5c9a698...,landmark_schema,both,mouse_error,all,5015.01526647636,246.345720199416,0.361918065678328,6.00320976951122e-10
5c9a698...,landmark_schema,far_pa,mouse_error,all,6803.6816859612,262.091280901589,0.351466706109029,2.98046442175113e-09
5c9a698...,landmark_schema,near_pa,mouse_error,all,3237.19088950047,216.978025735891,0.418050917197971,3.41904468410893
5c9a698...,no_schema,both,correct_exact,3_4,0.0965323405888959,0.0271768006272374,0.00431247257432942,0
5c9a698...,no_schema,both,correct_exact,all,0.150725776011587,0.0293354678143241,0.037657384186905,0
5c9a698...,no_schema,both,correct_one_square_away,3_4,0.540775881876335,0.0398398040589477,0.328673590506856,0
5c9a698...,no_schema,both,correct_one_square_away,all,0.116797650886274,0.0340329033841825,0.347554481235444,0
5c9a698...,no_schema,both,mouse_error,3_4,3780.20865443602,164.647014079119,34.1806644498363,63.3418400193004
5c9a698...,no_schema,both,mouse_error,all,1323.82734073387,241.289432877934,1.23449785162349,59.3500561690932
5c9a698...,random_locations,both,correct_exact,3_4,0.09221273205884,1.12185149086953e-06,0.0327681037066102,0
5c9a698...,random_locations,both,correct_exact,all,0.189218102516503,2.65039503558643e-05,0.0979771364480254,0
5c9a698...,random_locations,both,correct_one_square_away,3_4,0.535965655836919,0.0149529477115706,0.101438903170638,0
5c9a698...,random_locations,both,correct_one_square_away,all,0.185361851239441,0.136021444529472,0.181871975846163,0
5c9a698...,random_locations,both,mouse_error,3_4,9225.22994538276,163.794902190221,0.0970122368341918,2.70712683060345e-08
5c9a698...,random_locations,both,mouse_error,all,1907.84148591845,129.383726696088,0.137348885940633,1.93256972415697e-10
5c9a698...,schema_c,both,correct_exact,3_4,1.17880918268739,0.169188702489,0.143528907341252,0
5c9a698...,schema_c,far_pa,correct_exact,3_4,1.50000000246002,0.249983010526961,-2.06982581027974e-07,0
5c9a698...,schema_c,near_pa,correct_exact,3_4,1.29622223835875,5.13285199728281e-07,0.36662913522945,0
5c9a698...,schema_c,both,correct_exact,all,0.308740831756033,3.50833633417589e-06,0.216064743476588,0
5c9a698...,schema_c,far_pa,correct_exact,all,0.116228553108102,8.59188002462705e-07,0.178602735015011,0
5c9a698...,schema_c,near_pa,correct_exact,all,1.29622223835875,5.13285199728281e-07,0.36662913522945,0
5c9a698...,schema_c,both,correct_one_square_away,3_4,0.193885315952859,0.00106398628186584,0.565821353436283,0
5c9a698...,schema_c,far_pa,correct_one_square_away,3_4,1.2539731870708,3.90617470844258e-06,0.235558260258866,0
5c9a698...,schema_c,near_pa,correct_one_square_away,3_4,0.0386092625228505,2.75989209720247e-07,0.990777161977349,0
5c9a698...,schema_c,both,correct_one_square_away,all,0.149369318033767,0.133736082577648,0.546730980903068,0
5c9a698...,schema_c,far_pa,correct_one_square_away,all,0.271643206754065,0.195028312417432,0.404756538117213,0
5c9a698...,schema_c,near_pa,correct_one_square_away,all,0.0386092625228505,2.75989209720247e-07,0.990777161977349,0
5c9a698...,schema_c,both,mouse_error,3_4,4565.90960093123,200.823770730848,1.08257498358504,27.4201368568327
5c9a698...,schema_c,far_pa,mouse_error,3_4,28245.1561484467,152.877625334826,0.170268790809853,3.10563529511483e-09
5c9a698...,schema_c,near_pa,mouse_error,3_4,225.225750616779,223.881549785952,2.13765071999689,16.740492922912
5c9a698...,schema_c,both,mouse_error,all,2034.1007823767,221.311401243164,0.729798369195323,18.0346008545874
5c9a698...,schema_c,far_pa,mouse_error,all,3565.65635929184,220.553133686393,0.574505267376562,16.9315677156972
5c9a698...,schema_c,near_pa,mouse_error,all,225.225750616779,223.881549785952,2.13765071999689,16.740492922912
5c9a698...,schema_ic,both,correct_exact,3_4,0.349851560181028,0.0345960235242243,0.0287455558175404,0
