ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.75,0.25,10000,9585,100,95.85,FALSE,FALSE
5d776e2...,10000,0.625,0.3125,10000,9948,100,99.48,FALSE,FALSE
5dc983b...,10000,0.71875,0.40625,10000,9998,100,99.98,FALSE,FALSE
5e8e505...,10000,0.46875,0.09375,10000,2215,100,22.15,FALSE,TRUE
5f57c4a...,10000,0.59375,0.21875,10000,8970,100,89.7,FALSE,TRUE
5f91927...,10000,0.875,0.3125,10000,9962,100,99.62,FALSE,FALSE
6047ae5...,10000,0.84375,0.25,10000,9592,100,95.92,FALSE,FALSE
604fa68...,10000,0.4375,0.125,10000,4186,100,41.86,FALSE,TRUE
609478f...,10000,0.34375,0.0625,10000,849,100,8.49,FALSE,TRUE
60e43d1...,10000,0.75,0.46875,10000,10000,100,100,FALSE,FALSE
615a170...,10000,0.90625,0.21875,10000,8960,100,89.6,FALSE,TRUE
