ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.7115384615384616,0.23076923076923078,10000,9981,100,99.81,FALSE,FALSE
5d776e2...,10000,0.6153846153846154,0.2692307692307692,10000,9999,100,99.99,FALSE,FALSE
5dc983b...,10000,0.5961538461538461,0.2692307692307692,10000,9998,100,99.98,FALSE,FALSE
5e8e505...,10000,0.5,0.07692307692307693,10000,3078,100,30.78,FALSE,TRUE
5f57c4a...,10000,0.5576923076923077,0.19230769230769232,10000,9846,100,98.46,FALSE,FALSE
5f91927...,10000,0.8461538461538461,0.25,10000,9993,100,99.93,FALSE,FALSE
6047ae5...,10000,0.8461538461538461,0.19230769230769232,10000,9852,100,98.52,FALSE,FALSE
604fa68...,10000,0.4423076923076923,0.15384615384615385,10000,9119,100,91.19,FALSE,TRUE
609478f...,10000,0.3269230769230769,0.07692307692307693,10000,3127,100,31.27,FALSE,TRUE
60e43d1...,10000,0.8076923076923077,0.4230769230769231,10000,10000,100,100,FALSE,FALSE
615a170...,10000,0.9038461538461539,0.21153846153846154,10000,9952,100,99.52,FALSE,FALSE
