ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,3,both,mouse_error,3,17.068394128476175,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,4,16.59307319712054,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,5,17.344453814548327,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,6,18.211056480199055,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,7,11.854011056389309,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,8,24.97909282029674,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,1,0,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,2,0,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,3,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,4,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,5,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,6,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,7,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_exact,8,0,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,1,0,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,2,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,3,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,4,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,5,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,6,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,7,1,NA,1,NA,NA
5c9a698...,schema_c,3,both,correct_one_square_away,8,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,1,144.7578325277254,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,2,40.62656246995308,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,3,17.068394128476175,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,4,16.59307319712054,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,5,17.344453814548327,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,6,18.211056480199055,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,7,11.854011056389309,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,mouse_error,8,24.97909282029674,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,1,0,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,2,0,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,3,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,4,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,5,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,6,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,7,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_exact,8,0,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,1,0,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,2,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,3,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,4,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,5,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,6,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,7,1,NA,1,NA,NA
5c9a698...,schema_c,3,near_pa,correct_one_square_away,8,1,NA,1,NA,NA
5c9a698...,schema_c,3_4,both,mouse_error,1,200.77633765324583,88.73043577501868,3,100.40794032083888,190.043542404023
5c9a698...,schema_c,3_4,both,mouse_error,2,90.89994291153286,71.09729644682442,3,80.45416475476824,105.22257643732677
5c9a698...,schema_c,3_4,both,mouse_error,3,17.405130649230934,6.85439753915711,3,7.75648099815553,58.25923076392147
5c9a698...,schema_c,3_4,both,mouse_error,4,90.08647323577551,113.46530476277695,3,128.3980795270055,32.256746452368894
5c9a698...,schema_c,3_4,both,mouse_error,5,11.355226409347356,8.470046624571834,3,9.58476004954065,17.859791110334537
5c9a698...,schema_c,3_4,both,mouse_error,6,14.682873064489344,11.312790675078363,3,12.801627773423068,9.888540339174835
5c9a698...,schema_c,3_4,both,mouse_error,7,27.514988833949786,26.655158210024343,3,30.163151024985254,5.475048920527738
5c9a698...,schema_c,3_4,both,mouse_error,8,28.81967652262496,6.405465845423697,3,7.248466963075038,3.031403994320291
5c9a698...,schema_c,3_4,both,correct_exact,1,0,0,3,0,0.169188702489
5c9a698...,schema_c,3_4,both,correct_exact,2,0,0,3,0,0.28027169766802945
